accession,ENSEBL,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
P0DI82,ENSG00000256060,-0.048397644,0.611301034,0.492166855,0.321699334,0.801708637,0.006401437,0.032113632,0.199738104
E9PL57,ENSG00000255526,1.691786003,0.840627572,-0.057398121,0.150996492,4.58E-05,0.008612549,0.665914141,0.504953586
Q7LBR1,ENSG00000255112,1.166679643,-0.416261843,0.12508572,-0.158616142,0.00034479,0.255617044,0.453253607,0.686637294
G3V180,ENSG00000254986,-0.386279367,0.092038463,-0.183977772,-0.31900108,0.003849346,0.403405616,0.080060156,0.044744074
P26641,ENSG00000254772,-0.338824821,-0.110888729,0.111253963,0.056355233,0.002344259,0.143539293,0.141539615,0.305373095
E9PSI1,ENSG00000254692,-0.228895595,0.163253242,0.027192268,-0.2612374,0.000436805,0.17619971,0.407890525,0.097584057
A0A0S2Z5C6,ENSG00000254685,-0.662656559,0.826035733,0.358769383,-0.034031489,0.010107533,0.007542959,0.10553523,0.758326009
Q9BY43,ENSG00000254505,0.577485224,0.455507077,-0.050752648,0.029754758,0.003095419,0.027930351,0.691040991,0.9315211
Q9Y5G3,ENSG00000254221,-1.505530081,0.178549834,-0.136162945,-0.706410113,0.009372495,0.727150168,0.48211895,0.095609758
P07948,ENSG00000254087,1.336056129,-0.654069271,-0.71635119,-0.090343664,0.000139393,0.072601532,0.073679621,0.667145125
P78527,ENSG00000253729,0.751751819,0.063674984,0.163735889,0.148089103,0.000497745,0.462128705,0.175913351,0.169994003
A0A7P0T8Y4,ENSG00000253710,-1.267381866,-0.170006772,-0.274795083,-0.170581506,0.001268322,0.192855057,0.099766684,0.164075718
Q9H009,ENSG00000253506,0.215919298,0.401304648,-0.039171138,0.104770844,0.333128108,0.225445982,0.917069134,0.663567342
A0A0A6YYA0,ENSG00000251201,-1.265811373,-0.005388618,0.041117808,0.04323056,7.57E-05,0.981558094,0.776227759,0.295625229
H0YL85,ENSG00000250021,0.849376648,-0.009268008,-0.187667298,-0.269054436,0.003137197,0.952132023,0.498813206,0.165205966
O75340,ENSG00000249915,0.46472652,0.277229046,0.287479403,-0.060347495,0.000103204,0.025767088,0.013010291,0.396490508
O94927,ENSG00000249115,0.309966185,0.108495075,0.093133405,0.04766722,0.002082244,0.07839097,0.259226749,0.564060539
D6RBQ6,ENSG00000249104,-2.395057294,-0.284990484,-0.034142703,-0.330122894,0.000834438,0.131141837,0.632612351,0.10829003
G3V325,ENSG00000248919,-0.08212514,-0.156624303,0.101191028,-0.084888964,0.323384281,0.157764946,0.534449162,0.289345743
Q68DA7,ENSG00000248905,-1.557548403,0.366323246,0.436194034,0.126626238,0.001322197,0.102276555,0.073679621,0.22337181
H3BRJ5,ENSG00000248710,-0.284566448,-0.001863897,-0.295863526,0.270065722,0.007498546,0.789031903,0.012974846,0.03688235
B6A8C7,ENSG00000248385,-3.022250008,-1.085628386,-0.18256494,-0.58916619,0.003063436,0.04070097,0.680195037,0.188260347
P21127,ENSG00000248333,0.837672262,-0.089705065,0.081623502,0.238404891,0.000898091,0.839855962,0.476218698,0.125530497
